year,barrier,value,barrier_group,barrier_display
1991,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1992,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1993,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1994,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1995,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1996,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1997,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1998,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
1999,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2000,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2001,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2002,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2003,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
2004,ngo_foreign_fund_prohibit,1,Barriers to funding,Foreign funds prohibited
